Size,Time (ms),Majority Element Comparisons,Array Accesses,
10,0,0107,7,16,20,
100,0,0252,7,151,200,
1000,0,2422,7,1509,2000,
10000,2,0943,7,15052,20000,
100000,5,2078,7,150470,200000,
